Org Id,School Name,Street Address,Postal Address,Phone,Fax,Principal,Email,Students FTE,Website
6197,East Launceston Primary School,"18 Mary Street, East Launceston TAS, 7250","PO Box 97, Abbott Street, East Launceston TAS, 7250",03 6331 1233,03 6334 4000,Emmy Brient,East.Launceston.Primary@education.tas.gov.au,507.8 (as at 21 February 2020),http://eastlauncestonprimary.education.tas.edu.au/
6833,East Tamar Primary School,"Hargrave Crescent, Mayfield TAS, 7248","PO Box 133, Mowbray Heights TAS, 7248",03 6326 0222,,Karen Hay,East.Tamar.Primary@education.tas.gov.au,321.2 (as at 21 February 2020),http://easttamarprimary.education.tas.edu.au/
6100,East Ulverstone Primary School,"18 Crawford St, Ulverstone TAS, 7315","Box 3261, Crawford Street, Ulverstone TAS, 7315",03 6425 1917,03 6425 1227,Simon Dent,East.Ulverstone.Primary@education.tas.gov.au,250.2 (as at 21 February 2020),http://eastulverstoneprimary.education.tas.edu.au/
6069,Edith Creek Primary School,"1282 Trowutta Road, Edith Creek TAS, 7330","1282 Trowutta Road, Edith Creek TAS, 7330",03 6456 4192,03 6456 4270,Carolyn Force,Edith.Creek.Primary@education.tas.gov.au,56.0 (as at 21 February 2020),http://edithcreekprimary.education.tas.edu.au/
6784,Elizabeth College,"256-278 Elizabeth Street, North Hobart TAS, 7000","256 Elizabeth Street, Elizabeth Street, North Hobart TAS, 7000",03 6235 6555,03 6231 2242,Dianne Purnell,Elizabeth.College@education.tas.gov.au,973.1 (as at 21 February 2020),http://ElizabethCollege.education.tas.edu.au/
6273,Evandale Primary School,"5-11 Barclay Street, Evandale TAS, 7212","Care PO Box 104, Evandale TAS, 7212",03 6391 8261,03 6391 8676,Jennifer Gadsby,Evandale.Primary@education.tas.gov.au,157.2 (as at 21 February 2020),http://evandaleprimary.education.tas.edu.au/
6274,Exeter High School,"28 Glen-Ard-Mohr Road, Exeter TAS, 7275","28 Glen-Ard-Mohr Road, Exeter TAS, 7275",03 6394 4366,03 6394 4485,Benjamin Frerk,Exeter.High@education.tas.gov.au,311.0 (as at 21 February 2020),http://education.tas.edu.au/exeterhigh
6275,Exeter Primary School,"31 Glen-Ard-Mohr Road, Exeter TAS, 7275","31 Glen-Ard-Mohr Road, Exeter TAS, 7275",03 6394 4700,03 6394 4677,Zachary Taylor,Exeter.Primary@education.tas.gov.au,396.6 (as at 21 February 2020),http://exeterprimary.education.tas.edu.au/
6170,Fairview Primary School,"211 Back River Road, New Norfolk TAS, 7140","Care PO Box 63, New Norfolk TAS, 7140",03 6261 7999,03 6261 3858,Sonya Plunkett-Smith,Fairview.Primary@education.tas.gov.au,338.2 (as at 21 February 2020),http://fairviewprimary.education.tas.edu.au/
6200,Flinders Island District High School,"121 Thule Road, Whitemark Flinders Island TAS, 7255","PO Box 9, Whitemark Flinders Island TAS, 7255",03 6359 2021,03 6359 2245,Stuart Dwyer,Flinders.Island.District.High@education.tas.gov.au,93.6 (as at 21 February 2020),http://flindersislanddistricthigh.education.tas.edu.au/
6070,Forest Primary School,"422 Mengha Road, Forest TAS, 7330","422 Mengha Road, Forest TAS, 7330",03 6458 3141,03 6458 3395,Sarah Cuthbertson,Forest.Primary@education.tas.gov.au,154.4 (as at 21 February 2020),http://forestprimary.education.tas.edu.au/
6101,Forth Primary School,"45 Wilmot Road, Forth TAS, 7310",45 Wilmot Road,03 6428 2282,03 6428 3015,Dianne Poulton,Forth.Primary@education.tas.gov.au,191.8 (as at 21 February 2020),http://forthprimary.education.tas.edu.au/
6237,Franklin Primary School,"10 New Road, Franklin TAS, 7113","10 New Road, Franklin TAS, 7113",03 6266 3216,03 6266 3682,Linda Heerey,Franklin.Primary@education.tas.gov.au,128.8 (as at 21 February 2020),http://franklinprimary.education.tas.edu.au/
6238,Geeveston Primary School,"63 Arve Road, Geeveston TAS, 7116","63 Arve Road, Geeveston TAS, 7116",03 6297 1336,03 6297 1866,Denise Goodwin,Geeveston.Primary@education.tas.gov.au,62.2 (as at 21 February 2020),http://geevestonprimary.education.tas.edu.au/
6277,Glen Dhu Primary School,"270 Wellington Street, SOUTH LAUNCESTON TAS, 7249",270 Wellington Street,03 6344 1349,03 6343 3971,Marcus Cramp,Glen.Dhu.Primary@education.tas.gov.au,341.0 (as at 21 February 2020),http://glendhuprimary.education.tas.edu.au/
6239,Glen Huon Primary School,"801 Glen Huon Road, Glen Huon TAS, 7109",801 Glen Huon Road,03 6266 6240,03 6266 6383,Glenys McKay,Glen.Huon.Primary@education.tas.gov.au,123.0 (as at 21 February 2020),http://glenhuonprimary.education.tas.edu.au/
6171,Glenora District School,"620 Gordon River Road, Glenora TAS, 7140","620 Gordon River Road, Glenora TAS, 7140",03 6286 1301,03 6286 1425,Liz Graham,Glenora.District.High@education.tas.gov.au,207.8 (as at 21 February 2020),http://glenoradistrictschool.education.tas.edu.au/
6172,Glenorchy Primary School,"Kensington Street, Glenorchy TAS, 7010",Kensington Street,03 6272 7574,03 6373 2993,Wendy Potter,Glenorchy.Primary@education.tas.gov.au,317.0 (as at 21 February 2020),http://glenorchyprimary.education.tas.edu.au/
6173,Goodwood Primary School,"454-458 Brooker Highway, Derwent Park TAS, 7009","454-458 Brooker Highway, Derwent Park TAS, 7009",03 6272 9100,03 6273 2799,Louise Anders,Goodwood.Primary@education.tas.gov.au,118.8 (as at 21 February 2020),http://goodwoodprimary.education.tas.edu.au/
6240,Goulburn Street Primary School,"Forest Road, West Hobart TAS, 7000",Forest Road,03 6234 1884,03 6231 0080,Michael Park,Goulburn.Street.Primary@education.tas.gov.au,249.0 (as at 21 February 2020),http://goulburnstreetprimary.education.tas.edu.au/
6278,Hagley Farm Primary School,"2508 Meander Valley Road, Hagley TAS, 7292","2508 Meander Valley Road, Hagley TAS, 7292",03 6392 2272,03 6392 2221,Jeanagh Viney,Hagley.Farm.Primary@education.tas.gov.au,346.6 (as at 21 February 2020),http://hagleyfarmprimary.education.tas.edu.au/
6071,Havenview Primary School,"15 Marriott Street, Havenview TAS, 7320","15 Marriott Street, Havenview TAS, 7320",03 6431 3995,03 6431 9340,Duncan Murfet,Havenview.Primary@education.tas.gov.au,120.0 (as at 21 February 2020),http://havenviewprimary.education.tas.edu.au/
6785,Hellyer College,"41-43 Mooreville Road, Burnie TAS, 7320","PO Box 1223, Burnie TAS, 7320",03 6435 5200,03 6433 3718,Judith Fahey,Hellyer.College@education.tas.gov.au,681.9 (as at 21 February 2020),http://hellyercollege.education.tas.edu.au
6102,Hillcrest Primary School,"5 Lawrence Drive, Devonport TAS, 7310",5 Lawrence Drive,03 6424 5211,03 6424 3910,Susan Barnard,Hillcrest.Primary@education.tas.gov.au,207.6 (as at 21 February 2020),http://hillcrestprimary.education.tas.edu.au/
6786,Hobart College,"50 Olinda Grove, Mount Nelson TAS, 7007","GPO Box 1188, Hobart TAS, 7001",03 6220 3133,03 6223 8771,Tracy Siedler,Hobart.College@education.tas.gov.au,1158.1 (as at 21 February 2020),http://hobartcollege.education.tas.edu.au/
6134,Howrah Primary School,"7 Howrah Road, Howrah TAS, 7018","7 Howrah Road, Howrah TAS, 7018",03 6246 6333,03 6247 9193,Susan Bullen,Howrah.Primary@education.tas.gov.au,647.2 (as at 21 February 2020),http://www.howrahprimary.org.au/
6244,Huonville High School,"82 Wilmot Road, Huonville TAS, 7109","82 Wilmot Road, Huonville TAS, 7109",03 6264 0800,,Geoff Williamson,Huonville.High@education.tas.gov.au,378.5 (as at 21 February 2020),http://huonvillehigh.education.tas.edu.au/
6245,Huonville Primary School,"74 Wilmot Rd, Huonville TAS, 7109","74 Wilmot Rd, Huonville TAS, 7109",03 6264 1064,03 6264 2259,Ian Thomas,Huonville.Primary@education.tas.gov.au,343.2 (as at 21 February 2020),http://huonvilleprimary.education.tas.edu.au/
6246,Illawarra Primary School,"6 Tinderbox Road, Blackmans Bay TAS, 7052","6 Tinderbox Road, Blackmans Bay TAS, 7052",03 6229 6295,03 6229 6210,Nick Donnelly,Illawarra.Primary@education.tas.gov.au,423.2 (as at 21 February 2020),http://illawarraprimaryschool.education.tas.edu.au/
6205,Invermay Primary School,"35-43 Mayne Street, Invermay TAS, 7248","Care PO Box 2102, Launceston TAS, 7250",03 6331 8371,,Tony Brazendale,Invermay.Primary@education.tas.gov.au,316.4 (as at 21 February 2020),http://invermayprimary.education.tas.edu.au/
6713,JRLF - East Derwent Primary School,"15 Bowden Drive, Bridgewater TAS, 7030",15 Bowden Drive,03 6263 7688,03 6263 6681,Elizabeth Humphries,jrlf.east.derwent.primary.campus@education.tas.gov.au,309.6 (as at 21 February 2020),http://jrlf.education.tas.edu.au/
6131,JRLF - Gagebrook Primary School,"4 Tottenham Road, Gagebrook TAS, 7030",4 Tottenham Road,03 6263 6762,03 6263 7408,Nick Dodd,jrlf.Gagebrook.Primary@education.tas.gov.au,117.8 (as at 21 February 2020),http://jrlf.education.tas.edu.au/
6133,JRLF - Herdsmans Cove Primary School,"2 Lamprill Circle, Herdsmans Cove TAS, 7030","2 Lamprill Circle, Herdsmans Cove TAS, 7030",03 6263 7843,03 6263 5156,Carolyn Brown,jrlf.herdsmans.Cove.Primary@education.tas.gov.au,153.6 (as at 21 February 2020),http://jrlf.education.tas.edu.au/
6160,JRLF - Senior School,"55 Eddington Street, Bridgewater TAS, 7030","PO Box 37, Bridgewater TAS, 7030",03 6262 5500,03 6262 5533,Heather Bessell,JRLF.Senior.school@education.tas.gov.au,336.6 (as at 21 February 2020),http://jrlf.education.tas.edu.au/
6175,Kempton Primary School,"4 Old Hunting Ground Road, Kempton TAS, 7030","4 Old Huntinground Road, Kempton TAS, 7030",03 6165 0800,,Alison Williams,Kempton.Primary@education.tas.gov.au,37.4 (as at 21 February 2020),http://kemptonprimary.education.tas.edu.au/
6073,King Island District High School,"21 George Street, Currie, King Island TAS, 7256","PO Box 168, Currie, King Island TAS, 7256",03 6462 1366,03 6462 1602,Denise Bryant,King.Island.District.High@education.tas.gov.au,204.0 (as at 21 February 2020),http://kingislanddistricthigh.education.tas.edu.au/
6279,Kings Meadows High School,"Guy St, Kings Meadows TAS, 7249","PO Box 49, Kings Meadows TAS, 7249",03 6343 1000,03 6344 1050,Maree Pinnington,kings.meadows.high@education.tas.gov.au,609.2 (as at 21 February 2020),http://kingsmeadowsHS.education.tas.edu.au/
6247,Kingston High School,"6 Kingston View Drive, Kingston TAS, 7050","PO Box 743, Kingston TAS, 7051",03 6283 1222,03 6229 1572,Elizabeth Robinson,Kingston.High@education.tas.gov.au,659.7 (as at 21 February 2020),http://www.kingstonhigh.education.tas.edu.au
6248,Kingston Primary School,"Church Street, Kingston TAS, 7050",Church Street,03 6229 5728,03 6229 5612,Kelly Dyer,Kingston.Primary@education.tas.gov.au,334.6 (as at 21 February 2020),http://kingstonprimary.education.tas.edu.au/
6249,Lansdowne Crescent Primary School,"15 Gourlay Street, West Hobart TAS, 7000","15 Gourlay Street, West Hobart TAS, 7000",03 6234 1030,03 6231 3935,Monique Carter,Lansdowne.Crescent.Primary@education.tas.gov.au,412.6 (as at 21 February 2020),http://www.lansdownecrescentprimary.org
6506,Latrobe High School,"101 Percival Street, Latrobe TAS, 7307","PO Box 105, Latrobe TAS, 7307",03 6426 1061,03 6426 2242,Brent Armitstead,Latrobe.High@education.tas.gov.au,529.7 (as at 21 February 2020),http://latrobehigh.education.tas.edu.au/
6103,Latrobe Primary School,"23 Lewis Street, Latrobe TAS, 7307","23 Lewis Street, Latrobe TAS, 7307",03 6426 1203,03 6426 2149,Julie Argent,Latrobe.Primary@education.tas.gov.au,332.0 (as at 21 February 2020),http://latrobeprimary.education.tas.edu.au
6135,Lauderdale Primary School,"3 Acton Road, Lauderdale TAS, 7021",3 Acton Road,03 6248 6270,03 6248 1218,Tracey Johnston,Lauderdale.Primary@education.tas.gov.au,665.4 (as at 21 February 2020),http://lauderdaleprimary.education.tas.edu.au/
6781,Launceston Big Picture School,"4 Invermay Road , Invermay TAS, 7250","PO Box 5339 , Invermay TAS, 7250",03 6335 1500,,Adrian Dean,Launceston.Big.Picture.School@education.tas.gov.au,92.5 (as at 21 February 2020),http://education.tas.edu.au/launcestoncitycampus
6280,Launceston College,"107-119 Paterson St, Launceston TAS, 7250","PO Box 2062, Paterson Street, Launceston TAS, 7250",03 6332 7777,03 6332 7800,Vicki Mackrill,Launceston.College@education.tas.gov.au,1358.8 (as at 21 February 2020),http://education.tas.edu.au/launcestoncollege
6250,Lenah Valley Primary School,"11 Creek Road, Lenah Valley TAS, 7008",11 Creek Road,03 6228 0311,03 6278 1360,Jennifer Poynter,Lenah.Valley.Primary@education.tas.gov.au,541.0 (as at 21 February 2020),http://lenahvalleyprimary.education.tas.edu.au/
6206,Lilydale District School,"1947 Main Road, Lilydale TAS, 7268","1947 Main Road, Lilydale TAS, 7268",03 6395 0100,03 6395 0199,Colin Pearson,Lilydale.District.school@education.tas.gov.au,372.1 (as at 21 February 2020),http://lilydale.education.tas.edu.au/
6137,Lindisfarne North Primary School,"271 East Derwent Highway, Geilston Bay TAS, 7015","271 East Derwent Highway, Geilston Bay TAS, 7015",03 6243 0101,,Shane Oldfield,Lindisfarne.North.Primary@education.tas.gov.au,325.8 (as at 21 February 2020),http://LindisfarneNorthPrimary.education.tas.edu.au/
6138,Lindisfarne Primary School,"17 Loatta Road, Lindisfarne TAS, 7015","PO Box 165, Lindisfarne TAS, 7015",03 6243 9232,03 6243 5071,Kel Innis,Lindisfarne.Primary@education.tas.gov.au,335.4 (as at 21 February 2020),http://lindisfarneprimary.education.tas.edu.au/
6281,Longford Primary School,"Corner Catherine & William Street, Longford TAS, 7301",William Street,03 6391 1252,,Carolyn Sutton,Longford.Primary@education.tas.gov.au,242.0 (as at 21 February 2020),http://longfordprimary.education.tas.edu.au/
6251,Margate Primary School,"7 Van Morey Road, Margate TAS, 7054","7 Van Morey Road, Margate TAS, 7054",03 6267 2238,03 6267 2750,Kate Slater,Margate.Primary@education.tas.gov.au,437.4 (as at 21 February 2020),http://margateprimary.education.tas.edu.au/
6105,Miandetta Primary School,"86 Berrigan Road, Miandetta TAS, 7310","86 Berrigan Road, Miandetta TAS, 7310",03 6424 4428,03 6424 9978,Sarah-Jane Tregenza,Miandetta.Primary@education.tas.gov.au,330.4 (as at 21 February 2020),http://miandettaprimary.education.tas.edu.au
6285,Mole Creek Primary School,"4 Caveside Road , Mole Creek TAS, 7304","PO Box 184, Mole Creek TAS, 7304",03 6363 1140,03 6363 1141,Nathan Rockliff,Mole.Creek.Primary@education.tas.gov.au,48.8 (as at 21 February 2020),http://molecreekprimary.education.tas.edu.au/
6177,Molesworth Primary School,"540 Molesworth Road, Molesworth TAS, 7140",540 Molesworth Road,03 6261 2091,03 6261 2664,Leanne Smith,Molesworth.Primary@education.tas.gov.au,153.6 (as at 21 February 2020),http://molesworthprimary.education.tas.edu.au
6139,Montagu Bay Primary School,"10 Conara Road, Montagu Bay TAS, 7018",10 Conara Road,03 6244 1897,,Cathy Young,Montagu.Bay.Primary@education.tas.gov.au,340.4 (as at 21 February 2020),http://www.montagubay.tased.edu.au
6074,Montello Primary School,"83 Bird Street, Montello TAS, 7320","83 Bird Street, Montello TAS, 7320",03 6432 2755,03 6431 4551,Denise Wotherspoon,Montello.Primary@education.tas.gov.au,337.4 (as at 21 February 2020),http://montelloprimary.education.tas.edu.au/
